tiempo,entrada
109.6,-1.0565
109.7,-1.0565
109.8,-1.0565
109.9,-1.0565
110,-1.0565
110.1,-1.0565
110.2,-1.0565
110.3,-1.0565
110.4,-1.0565
110.5,-1.0565
110.6,-1.0565
110.7,-1.0565
110.8,-1.0565
110.9,-1.0565
111,-1.0565
111.1,-1.0565
111.2,-1.0565
111.3,-1.0565
111.4,-1.0565
111.5,-1.0565
111.6,-1.0565
111.7,-1.0565
111.8,-1.0565
111.9,-1.0565
112,-1.0565
112.1,-1.0565
112.2,-1.0565
112.3,-1.0565
112.4,-1.0565
112.5,-1.0565
112.6,-1.0565
112.7,-1.0565
112.8,-1.0565
112.9,-1.0565
113,-1.0565
113.1,-1.0565
113.2,-1.0565
113.3,-1.0565
113.4,-1.0565
113.5,-1.0565
113.6,-1.0565
113.7,-1.0565
113.8,-1.0565
113.9,-1.0565
114,-1.0565
114.1,-1.0565
114.2,-1.0565
114.3,-1.0565
114.4,-1.0565
114.5,-1.0565
114.6,-1.0565
114.7,-1.0565
114.8,-1.0565
114.9,-1.0565
115,-1.0565
115.1,-1.0565
115.2,-1.0565
115.3,-1.0565
115.4,-1.0565
115.5,-1.0565
115.6,-1.0565
115.7,-1.0565
115.8,-1.0565
115.9,-1.0565
116,-1.0565
116.1,-1.0565
116.2,-1.0565
116.3,-1.0565
116.4,-1.0565
116.5,-1.0565
116.6,-1.0565
116.7,-1.0565
116.8,-1.0565
116.9,-1.0565
117,-1.0565
117.1,-1.0565
117.2,-1.0565
117.3,-1.0565
117.4,-1.0565
117.5,-1.0565
117.6,-1.0565
117.7,-1.0565
117.8,-1.0565
117.9,-1.0565
118,-1.0565
118.1,-1.0565
118.2,-1.0565
118.3,-1.0565
118.4,-1.0565
118.5,-1.0565
118.6,-1.0565
118.7,-1.0565
118.8,-1.0565
118.9,-1.0565
119,-1.0565
119.1,-1.0565
119.2,-1.0565
119.3,-1.0565
119.4,-1.0565
119.5,-1.0565
119.6,-1.0565
119.7,-1.0565
119.8,-1.0565
119.9,-1.0565
120,-1.4548
120.1,-1.4548
120.2,-1.4548
120.3,-1.4548
120.4,-1.4548
120.5,-1.4548
120.6,-1.4548
120.7,-1.4548
120.8,-1.4548
120.9,-1.4548
121,-1.4548
121.1,-1.4548
121.2,-1.4548
121.3,-1.4548
121.4,-1.4548
121.5,-1.4548
121.6,-1.4548
121.7,-1.4548
121.8,-1.4548
121.9,-1.4548
122,-1.4548
122.1,-1.4548
122.2,-1.4548
122.3,-1.4548
122.4,-1.4548
122.5,-1.4548
122.6,-1.4548
122.7,-1.4548
122.8,-1.4548
122.9,-1.4548
123,-1.4548
123.1,-1.4548
123.2,-1.4548
123.3,-1.4548
123.4,-1.4548
123.5,-1.4548
123.6,-1.4548
123.7,-1.4548
123.8,-1.4548
123.9,-1.4548
124,-1.4548
124.1,-1.4548
124.2,-1.4548
124.3,-1.4548
124.4,-1.4548
124.5,-1.4548
124.6,-1.4548
124.7,-1.4548
124.8,-1.4548
124.9,-1.4548
125,-1.4548
125.1,-1.4548
125.2,-1.4548
125.3,-1.4548
125.4,-1.4548
125.5,-1.4548
125.6,-1.4548
125.7,-1.4548
125.8,-1.4548
125.9,-1.4548
126,-1.4548
126.1,-1.4548
126.2,-1.4548
126.3,-1.4548
126.4,-1.4548
126.5,-1.4548
126.6,-1.4548
126.7,-1.4548
126.8,-1.4548
126.9,-1.4548
127,-1.4548
127.1,-1.4548
127.2,-1.4548
127.3,-1.4548
127.4,-1.4548
127.5,-1.4548
127.6,-1.4548
127.7,-1.4548
127.8,-1.4548
127.9,-1.4548
128,-1.4548
128.1,-1.4548
128.2,-1.4548
128.3,-1.4548
128.4,-1.4548
128.5,-1.4548
128.6,-1.4548
128.7,-1.4548
128.8,-1.4548
128.9,-1.4548
129,-1.4548
129.1,-1.4548
129.2,-1.4548
129.3,-1.4548
129.4,-1.4548
129.5,-1.4548
129.6,-1.4548
129.7,-1.4548
129.8,-1.4548
129.9,-1.4548
130,-1.4548
130.1,-1.4548
130.2,-1.4548
130.3,-1.4548
130.4,-1.4548
130.5,-1.4548
130.6,-1.4548
130.7,-1.4548
130.8,-1.4548
130.9,-1.4548
131,-1.4548
131.1,-1.4548
131.2,-1.4548
131.3,-1.4548
131.4,-1.4548
131.5,-1.4548
131.6,-1.4548
131.7,-1.4548
131.8,-1.4548
131.9,-1.4548
